author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/274260488/;Москва;sale;flat;-1;-1;-1;202.0;111141;22450632;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
Тауэрс;developer;https://www.cian.ru/sale/flat/286264250/;Москва;sale;flat;41;66;1;51.2;854000;43724800;Пресненский;1-й Красногвардейский проезд;Выставочная;NEVA TOWERS
MR Group;developer;https://www.cian.ru/sale/flat/283864406/;Москва;sale;flat;-1;-1;-1;202.0;103154;20837134;Филевский парк;;Фили;Фили Сити ЖК
Пионер;developer;https://www.cian.ru/sale/flat/283969773/;Москва;sale;flat;-1;-1;-1;202.0;79735;16106665;Марьина роща;Полковая;Савёловская;PRIDE
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/286944836/;Москва;sale;flat;4;6;1;76.6;2436031;186600000;Хамовники;3-й Обыденский переулок;;Обыденский №1
Absolute Premium;developer;https://www.cian.ru/sale/flat/286935013/;Москва;sale;flat;2;18;1;49.8;672108;33471000;Хамовники;;Воробьёвы горы;Коллекция Лужники ЖК
VESPER;developer;https://www.cian.ru/sale/flat/270237518/;Москва;sale;flat;-1;-1;-1;-1;-55777772;55777772;Пресненский;2-я Звенигородская;Улица 1905 года;Lucky
MR Group;developer;https://www.cian.ru/sale/flat/268828622/;Москва;sale;flat;-1;-1;-1;202.0;120310;24302700;Раменки;1-й Сетуньский проезд;Лужники;Hide
Forma;developer;https://www.cian.ru/sale/flat/280467174/;Москва;sale;flat;-1;-1;-1;202.0;140161;28312650;Пресненский;;Белорусская;Репаблик ЖК
MR Group;developer;https://www.cian.ru/sale/flat/285682608/;Москва;sale;flat;-1;-1;-1;1.0;25160002;25160002;Беговой;Северный ао;Белорусская;Слава ЖК
ASTERUS;developer;https://www.cian.ru/sale/flat/274202055/;Москва;sale;flat;-1;-1;-1;202.0;79815;16122800;Покровское-Стрешнево;;Спартак;Алиа ЖК
VOSHOD;developer;https://www.cian.ru/sale/flat/285674290/;Москва;sale;flat;-1;-1;-1;202.0;179134;36185160;Филевский парк;Василисы Кожиной;Филёвский парк;AHEAD
GRAVION;developer;https://www.cian.ru/sale/flat/284824189/;Москва;sale;flat;2;9;1;53.17;1036122;55090638;Якиманка;Ленинский проспект;Октябрьская;CULT (Апартаменты премиум-класса)
MR Group;developer;https://www.cian.ru/sale/flat/271462103/;Москва;sale;flat;-1;-1;-1;202.0;91448;18472662;Савеловский;;Дмитровская;Симфония 34 ЖК
Пионер;developer;https://www.cian.ru/sale/flat/283250324/;Москва;sale;flat;5;11;1;55.8;763221;42587787;Даниловский;Дербеневская;Павелецкая;OPUS
Regions Development;developer;https://www.cian.ru/sale/flat/280854456/;Москва;sale;flat;5;17;1;45.85;423767;19429743;Преображенское;;Преображенская площадь;Преображенская Площадь ЖК
Место;real_estate_agent;https://www.cian.ru/sale/flat/286617137/;Москва;sale;flat;47;58;1;38.5;563636;21700000;Хорошево-Мневники;Народного Ополчения;Народное Ополчение;Wellton Towers
Capital Group;developer;https://www.cian.ru/sale/flat/283760225/;Москва;sale;flat;12;18;1;48.3;1040000;50232000;Дорогомилово;;Киевская;Бадаевский ЖК
Донстрой;developer;https://www.cian.ru/sale/flat/286396033/;Москва;sale;flat;6;19;1;44.9;570300;25606470;Хорошево-Мневники;проезд Проектируемый № 1077;Терехово ;Остров
