author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/274260488/;Москва;sale;flat;-1;-1;-1;202.0;111141;22450632;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
Excellent real estate;real_estate_agent;https://www.cian.ru/sale/flat/281674268/;Москва;sale;flat;10;15;1;38.0;284210;10800000;Коптево;бульвар Матроса Железняка;Коптево;
Кварта-ПИК БРОКЕР;real_estate_agent;https://www.cian.ru/sale/flat/266941205/;Москва;sale;flat;1;8;2;69.5;206690;14365000;Сокол;Ленинградское шоссе;Сокол;
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/285865046/;Москва;sale;flat;15;15;3;216.5;1062355;230000000;Мещанский;Цветной бульвар;Кузнецкий мост;Легенда Цветного
Екатерина Боброва;realtor;https://www.cian.ru/sale/flat/285725185/;Москва;sale;flat;4;14;1;40.0;320000;12800000;Савеловский;2-я Квесисская;Савёловская;
ОбменРФ - Брусника. Обмен;representative_developer;https://www.cian.ru/sale/flat/284339834/;Москва;sale;flat;9;17;1;35.0;277142;9700000;;;Прокшино;
Мадлена Полякова;realtor;https://www.cian.ru/sale/flat/287154663/;Москва;sale;flat;3;13;2;49.0;228571;11200000;;;Ольховая;
Место;real_estate_agent;https://www.cian.ru/sale/flat/286617137/;Москва;sale;flat;47;58;1;38.5;563636;21700000;Хорошево-Мневники;Народного Ополчения;Народное Ополчение;Wellton Towers
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/286709691/;Москва;sale;flat;7;7;3;125.0;439200;54900000;Тверской;Тверская;Маяковская;
ID 90359541;unknown;https://www.cian.ru/sale/flat/286286097/;Москва;sale;flat;16;17;3;75.0;244666;18350000;Коньково;Миклухо-Маклая;Беляево;
Елена Подстрешная;realtor;https://www.cian.ru/sale/flat/285882821/;Москва;sale;flat;26;28;3;90.0;326666;29400000;Филевский парк;Береговой проезд;Шелепиха;мой адрес На Береговом
ID 416302;realtor;https://www.cian.ru/sale/flat/286677063/;Москва;sale;flat;2;7;2;124.2;1268913;157599069;Хамовники;Ефремова;Фрунзенская;Knightsbridge Private Park
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/278817840/;Москва;sale;flat;6;8;4;105.0;619047;65000000;Якиманка;Ленинский проспект;Октябрьская;
Intermark Real Estate - ранее Savills - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/282500948/;Москва;sale;flat;43;57;4;186.9;1782182;333089820;Хорошевский;Чапаевский переулок;Сокол;Триумф-Палас
ID 54462788;realtor;https://www.cian.ru/sale/flat/284541578/;Москва;sale;flat;14;14;1;29.8;268456;8000000;;;Коммунарка;
M-PROPERTY moscow property;real_estate_agent;https://www.cian.ru/sale/flat/286926870/;Москва;sale;flat;11;22;2;57.0;314035;17900000;Обручевский;Новаторов;Новаторская;
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/286389933/;Москва;sale;flat;18;41;4;113.6;747755;84945000;Хорошевский;Ленинградский проспект;ЦСКА;Прайм Парк
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/284397896/;Москва;sale;flat;6;44;2;65.0;561523;36499000;Пресненский;Ходынская;Улица 1905 года;Пресня Сити
Бест-Пресня;real_estate_agent;https://www.cian.ru/sale/flat/286298260/;Москва;sale;flat;6;8;3;88.0;328409;28900000;Дорогомилово;площадь Победы;Парк Победы;
Cristall Realty;real_estate_agent;https://www.cian.ru/sale/flat/287257855/;Москва;sale;flat;9;9;3;83.1;323706;26900000;Красносельский;Краснопрудная;Комсомольская;
FS PROPERTY;real_estate_agent;https://www.cian.ru/sale/flat/286114192/;Москва;sale;flat;2;5;4;229.0;2220598;508517125;Хамовники;Пречистенская набережная;Парк Культуры;Кленовый DOM
Эльвира Чижикова;realtor;https://www.cian.ru/sale/flat/286844698/;Москва;sale;flat;5;9;1;34.0;395588;13450000;Зюзино;Малая Юшуньская;Каховская;
ID 100417108;homeowner;https://www.cian.ru/sale/flat/284362983/;Москва;sale;flat;3;3;2;57.0;198245;11300000;;;Филатов Луг;
ID 254498;unknown;https://www.cian.ru/sale/flat/277916287/;Москва;sale;flat;2;14;3;75.7;314398;23800000;Марьина роща;Складочная;Савёловская;Шереметьевский
ID 370651;realtor;https://www.cian.ru/sale/flat/273494011/;Москва;sale;flat;6;9;3;56.0;223214;12500000;Вешняки;Вешняковская;Выхино;
ID 103037811;homeowner;https://www.cian.ru/sale/flat/287320938/;Москва;sale;flat;7;29;4;165.0;363636;60000000;Раменки;Мосфильмовская;Ломоносовский проспект;Мосфильмовская
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/286543268/;Москва;sale;flat;4;5;3;94.1;445270;41900000;Басманный;Чаплыгина;Красные ворота;
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/284147840/;Москва;sale;flat;8;10;4;225.0;622222;140000000;Аэропорт;Ленинградский проспект;Динамо;ВТБ Арена парк
Bespoke Estate;real_estate_agent;https://www.cian.ru/sale/flat/283217628/;Москва;sale;flat;7;8;3;87.5;913142;79900000;Тверской;Тверская;Охотный ряд;
Capital Group;developer;https://www.cian.ru/sale/flat/283844186/;Москва;sale;flat;75;85;4;232.5;791167;183946473;Пресненский;1-й Красногвардейский проезд;Выставочная;МФК ОКО
Ключи;real_estate_agent;https://www.cian.ru/sale/flat/286203355/;Москва;sale;flat;4;9;1;32.0;359375;11500000;Пресненский;Причальный проезд;Шелепиха;
ID 97380778;realtor;https://www.cian.ru/sale/flat/280467372/;Москва;sale;flat;34;38;3;135.0;214814;29000000;Ростокино;проспект Мира;Ростокино;Триколор
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/281875124/;Москва;sale;flat;1;3;2;473.8;2590080;1227180000;Якиманка;;Третьяковская;Лаврушинский ЖК
Абсолют Недвижимость;representative_developer;https://www.cian.ru/sale/flat/285445279/;Москва;sale;flat;15;23;1;38.5;249374;9600914;Некрасовка;Недорубова;Некрасовка;Квартал Некрасовка
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284509561/;Москва;sale;flat;4;5;4;176.0;369318;65000000;Басманный;Большой Козловский переулок;Красные ворота;
MCRealty;real_estate_agent;https://www.cian.ru/sale/flat/286493058/;Москва;sale;flat;11;21;2;65.0;507692;33000000;Пресненский;набережная Пресненская;Международная;МФК IQ-квартал
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/277195067/;Москва;sale;flat;5;8;3;81.0;580246;47000000;Пресненский;Никитский бульвар;Арбатская;
МИЦ;developer;https://www.cian.ru/sale/flat/286217679/;Москва;sale;flat;2;17;2;47.8;250650;11981070;Печатники;Шоссейная;Перерва;Графика на воде
MCRealty;real_estate_agent;https://www.cian.ru/sale/flat/249990207/;Москва;sale;flat;18;80;2;60.0;666666;40000000;Пресненский;1-й Красногвардейский проезд;Выставочная;NEVA TOWERS
